"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"e:\react\whatsapp\src\components\footer\rem.js", "JavaScript", 440, 0, 0, 1, 59, 500
"e:\react\whatsapp\src\components\footer\replyDialog.js", "JavaScript", 76, 0, 0, 0, 10, 86
"e:\react\whatsapp\src\components\footer\toolbar.js", "JavaScript", 232, 0, 0, 1, 29, 262
"e:\react\whatsapp\src\components\header\Header.js", "JavaScript", 97, 0, 0, 0, 12, 109
"e:\react\whatsapp\src\components\header\chat.js", "JavaScript", 111, 0, 0, 0, 11, 122
"e:\react\whatsapp\src\components\header\drawer.js", "JavaScript", 30, 0, 0, 0, 4, 34
"e:\react\whatsapp\src\components\infiniteScroll.js", "JavaScript", 57, 0, 0, 0, 12, 69
"e:\react\whatsapp\src\components\listOrderAnimation.js", "JavaScript", 61, 0, 0, 1, 27, 89
"e:\react\whatsapp\src\components\login\form.js", "JavaScript", 91, 0, 0, 0, 9, 100
"e:\react\whatsapp\src\components\login\index.js", "JavaScript", 146, 0, 0, 4, 21, 171
"e:\react\whatsapp\src\components\login\input.js", "JavaScript", 69, 0, 0, 0, 10, 79
"e:\react\whatsapp\src\components\login\verification.js", "JavaScript", 46, 0, 0, 0, 5, 51
"e:\react\whatsapp\src\components\mediaModal\Header.js", "JavaScript", 100, 0, 0, 0, 27, 127
"e:\react\whatsapp\src\components\mediaModal\dpModal.js", "JavaScript", 115, 0, 0, 0, 16, 131
"e:\react\whatsapp\src\components\mediaModal\mediaModal.js", "JavaScript", 143, 0, 0, 0, 30, 173
"e:\react\whatsapp\src\components\mediaModal\modalWrapper.js", "JavaScript", 115, 0, 0, 1, 10, 126
"e:\react\whatsapp\src\components\mediaModal\trail.js", "JavaScript", 286, 0, 0, 2, 27, 315
"e:\react\whatsapp\src\components\mediaModal\useTransition.js", "JavaScript", 224, 0, 0, 2, 29, 255
"e:\react\whatsapp\src\components\mediaModal\utils.js", "JavaScript", 121, 0, 0, 0, 14, 135
"e:\react\whatsapp\src\components\message\defaults.js", "JavaScript", 3, 0, 0, 0, 1, 4
"e:\react\whatsapp\src\components\message\deleteDialog.js", "JavaScript", 83, 0, 0, 0, 10, 93
"e:\react\whatsapp\src\components\message\deleted.js", "JavaScript", 22, 0, 0, 0, 4, 26
"e:\react\whatsapp\src\components\message\document.js", "JavaScript", 89, 0, 0, 0, 6, 95
"e:\react\whatsapp\src\components\message\error.js", "JavaScript", 12, 0, 0, 0, 2, 14
"e:\react\whatsapp\src\components\message\header.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\react\whatsapp\src\components\message\index.js", "JavaScript", 346, 0, 0, 16, 44, 406
"e:\react\whatsapp\src\components\message\loading.js", "JavaScript", 96, 0, 0, 0, 4, 100
"e:\react\whatsapp\src\components\message\media.js", "JavaScript", 187, 0, 0, 0, 20, 207
"e:\react\whatsapp\src\components\message\reply.js", "JavaScript", 63, 0, 0, 0, 12, 75
"e:\react\whatsapp\src\components\message\text.js", "JavaScript", 21, 0, 0, 0, 2, 23
"e:\react\whatsapp\src\components\message\utils.js", "JavaScript", 4, 0, 0, 0, 4, 8
"e:\react\whatsapp\src\components\message\voicePlayer.js", "JavaScript", 87, 0, 0, 3, 13, 103
"e:\react\whatsapp\src\components\modal\index.js", "JavaScript", 103, 0, 0, 0, 13, 116
"e:\react\whatsapp\src\components\orderAnimation.js", "JavaScript", 108, 0, 0, 0, 21, 129
"e:\react\whatsapp\src\components\overlay\index.js", "JavaScript", 22, 0, 0, 0, 4, 26
"e:\react\whatsapp\src\components\profile\index.js", "JavaScript", 225, 0, 0, 0, 41, 266
"e:\react\whatsapp\src\components\sideBar\MenuSidebar.js", "JavaScript", 80, 0, 0, 0, 5, 85
"e:\react\whatsapp\src\components\sideBar\SideBar.js", "JavaScript", 32, 0, 0, 0, 8, 40
"e:\react\whatsapp\src\components\sideBar\login.js", "JavaScript", 17, 0, 0, 0, 2, 19
"e:\react\whatsapp\src\components\spinner\index.js", "JavaScript", 57, 0, 0, 0, 3, 60
"e:\react\whatsapp\src\components\spriteRender.js", "JavaScript", 70, 0, 0, 0, 21, 91
"e:\react\whatsapp\src\components\startUp.js", "JavaScript", 12, 0, 0, 0, 11, 23
"e:\react\whatsapp\src\components\tabNavigation.js", "JavaScript", 172, 0, 0, 0, 24, 196
"e:\react\whatsapp\src\components\tooltip\hoverToolTip.js", "JavaScript", 39, 0, 0, 0, 9, 48
"e:\react\whatsapp\src\components\tooltip\index.js", "JavaScript", 213, 0, 0, 0, 27, 240
"e:\react\whatsapp\src\contexts\appStore.js", "JavaScript", 41, 0, 0, 0, 14, 55
"e:\react\whatsapp\src\contexts\chatContext.js", "JavaScript", 49, 0, 0, 0, 10, 59
"e:\react\whatsapp\src\contexts\dateModalContext.js", "JavaScript", 106, 0, 0, 1, 24, 131
"e:\react\whatsapp\src\contexts\exStore.js", "JavaScript", 143, 0, 0, 0, 19, 162
"e:\react\whatsapp\src\contexts\footerContext.js", "JavaScript", 48, 0, 0, 0, 9, 57
"e:\react\whatsapp\src\contexts\imageFetchContext.js", "JavaScript", 183, 0, 0, 0, 26, 209
"e:\react\whatsapp\src\contexts\modalContext.js", "JavaScript", 41, 0, 0, 0, 9, 50
"e:\react\whatsapp\src\contexts\mutationContext.js", "JavaScript", 142, 0, 0, 0, 31, 173
"e:\react\whatsapp\src\contexts\roomContext.js", "JavaScript", 22, 0, 0, 0, 9, 31
"e:\react\whatsapp\src\contexts\sidebarContext.js", "JavaScript", 51, 0, 0, 0, 12, 63
"e:\react\whatsapp\src\contexts\socketContext.js", "JavaScript", 181, 0, 0, 6, 39, 226
"e:\react\whatsapp\src\contexts\store.js", "JavaScript", 28, 0, 0, 0, 6, 34
"e:\react\whatsapp\src\contexts\trailStore.js", "JavaScript", 28, 0, 0, 0, 6, 34
